order_id,picked_up_time,delivered_time,actual_delivery_mins
ORD_00000,2024-02-09 09:09:00,2024-02-09 09:35:00,26.0
ORD_00001,2024-01-15 15:20:00,2024-01-15 15:44:00,24.0
ORD_00002,2024-01-14 14:30:00,2024-01-14 14:50:00,20.0
ORD_00003,2024-02-13 09:57:00,2024-02-13 10:09:00,12.0
ORD_00004,2024-02-19 14:57:00,2024-02-19 16:34:00,97.0
ORD_00005,2024-01-03 12:29:00,2024-01-03 12:53:00,24.0
ORD_00006,2024-01-17 10:10:00,2024-01-17 10:31:00,21.0
ORD_00007,2024-02-11 13:57:00,2024-02-11 14:51:00,54.0
ORD_00008,2024-01-19 18:59:00,2024-01-19 19:16:00,17.0
ORD_00009,2024-02-01 12:53:00,2024-02-01 13:30:00,37.0
ORD_00010,2024-01-27 13:53:00,2024-01-27 14:12:00,19.0
ORD_00011,2024-02-21 10:42:00,2024-02-21 11:40:00,58.0
ORD_00012,2024-02-22 18:28:00,2024-02-22 19:09:00,41.0
ORD_00013,2024-01-11 12:50:00,2024-01-11 13:09:00,19.0
ORD_00014,2024-02-21 16:38:00,2024-02-21 16:59:00,21.0
ORD_00015,2024-02-25 15:23:00,2024-02-25 15:43:00,20.0
ORD_00016,2024-01-01 17:50:00,2024-01-01 18:33:00,43.0
ORD_00017,2024-01-02 11:30:00,2024-01-02 11:48:00,18.0
ORD_00018,2024-02-12 17:40:00,2024-02-12 17:59:00,19.0
ORD_00019,2024-01-27 09:42:00,2024-01-27 09:59:00,17.0
ORD_00020,2024-02-18 15:36:00,2024-02-18 16:16:00,40.0
ORD_00021,2024-02-17 10:27:00,2024-02-17 11:43:00,76.0
ORD_00022,2024-01-22 09:14:00,2024-01-22 09:41:00,27.0
ORD_00023,2024-01-16 09:05:00,2024-01-16 09:19:00,14.0
ORD_00024,2024-01-06 09:37:00,2024-01-06 09:53:00,16.0
ORD_00025,2024-02-24 15:40:00,2024-02-24 15:58:00,18.0
ORD_00026,2024-01-18 15:11:00,2024-01-18 15:26:00,15.0
ORD_00027,2024-01-22 12:35:00,2024-01-22 12:59:00,24.0
ORD_00028,2024-01-08 10:53:00,2024-01-08 11:17:00,24.0
ORD_00029,2024-01-27 18:36:00,2024-01-27 19:28:00,52.0
ORD_00030,2024-01-08 15:55:00,2024-01-08 16:41:00,46.0
ORD_00031,2024-02-19 15:08:00,2024-02-19 15:31:00,23.0
