order_id,user_id,order_amount,promised_time_mins,order_date,actual_delivery_mins,rating,city,signup_date,is_good_experience,is_high_value
ORD_00001,U_02447,2459,30,2024-01-15,24.0,5.0,Gurgaon,2023-12-25,True,True
ORD_00008,U_02556,4120,30,2024-01-19,17.0,4.0,Mumbai,2023-11-11,True,True
ORD_00013,U_04408,4324,30,2024-01-11,19.0,5.0,Bangalore,2023-11-24,True,True
ORD_00022,U_01916,4920,30,2024-01-22,27.0,5.0,Mumbai,2023-11-14,True,True
ORD_00023,U_01877,405,45,2024-01-16,14.0,5.0,Bangalore,2023-11-26,True,True
ORD_00027,U_00668,3969,30,2024-01-22,24.0,5.0,Bangalore,2023-12-22,True,True
ORD_00033,U_02252,3073,30,2024-01-06,17.0,4.0,Mumbai,2023-12-24,True,True
ORD_00035,U_02539,2633,30,2024-01-30,21.0,4.0,Delhi,2023-12-17,True,True
ORD_00037,U_04473,2263,30,2024-01-10,15.0,4.0,Hyderabad,2024-01-23,True,True
ORD_00039,U_04828,1670,30,2024-01-01,21.0,5.0,Mumbai,2023-12-10,True,True
ORD_00052,U_03916,611,60,2024-01-04,30.0,5.0,Hyderabad,2023-11-09,True,True
ORD_00055,U_04334,1267,45,2024-01-06,39.0,4.0,Bangalore,2023-11-08,True,True
ORD_00062,U_04159,4246,30,2024-01-27,15.0,4.0,Gurgaon,2023-11-29,True,True
ORD_00064,U_02447,4546,30,2024-01-21,19.0,5.0,Gurgaon,2023-12-25,True,True
ORD_00067,U_03705,3776,30,2024-01-31,23.0,4.0,Delhi,2023-12-09,True,True
ORD_00075,U_00173,4467,30,2024-01-09,26.0,5.0,Chennai,2024-01-25,True,True
ORD_00084,U_04096,1796,30,2024-01-13,26.0,5.0,Delhi,2023-11-04,True,True
ORD_00085,U_00595,2419,30,2024-01-03,23.0,5.0,Bangalore,2023-12-22,True,True
ORD_00088,U_04127,402,30,2024-01-28,25.0,5.0,Delhi,2023-11-07,True,True
ORD_00092,U_04840,1319,30,2024-01-16,19.0,4.0,Chennai,2023-12-25,True,True
ORD_00101,U_03235,2124,30,2024-01-14,26.0,4.0,Bangalore,2023-12-12,True,True
ORD_00106,U_03708,2635,30,2024-01-12,15.0,5.0,Chennai,2023-11-05,True,True
ORD_00122,U_01787,1280,30,2024-01-03,28.0,5.0,Chennai,2023-11-27,True,True
ORD_00126,U_01061,2169,30,2024-01-14,27.0,4.0,Mumbai,2023-11-01,True,True
ORD_00127,U_00196,3190,30,2024-01-12,16.0,5.0,Hyderabad,2023-11-05,True,True
ORD_00132,U_04891,2868,30,2024-01-08,19.0,5.0,Gurgaon,2023-11-15,True,True
ORD_00140,U_04750,2060,30,2024-01-14,19.0,5.0,Chennai,2023-11-20,True,True
ORD_00142,U_02654,367,60,2024-01-23,52.0,5.0,Mumbai,2023-12-09,True,True
ORD_00149,U_01952,4695,30,2024-01-23,21.0,4.0,Gurgaon,2024-01-03,True,True
ORD_00150,U_01518,1131,30,2024-01-26,25.0,5.0,Bangalore,2023-11-18,True,True
ORD_00151,U_01007,1264,60,2024-01-30,33.0,5.0,Hyderabad,2023-12-14,True,True
ORD_00152,U_03581,323,60,2024-01-03,31.0,4.0,Bangalore,2023-12-23,True,True
ORD_00154,U_03439,720,45,2024-01-14,35.0,5.0,Hyderabad,2023-12-22,True,True
