order_id,user_id,order_amount,promised_time_mins,order_date,actual_delivery_mins,rating,city,signup_date
ORD_00000,U_02674,395,60,2024-02-09,26.0,,Delhi,2023-12-26
ORD_00001,U_02447,2459,30,2024-01-15,24.0,5.0,Gurgaon,2023-12-25
ORD_00002,U_02255,4973,30,2024-01-14,20.0,,Bangalore,2023-12-24
ORD_00003,U_02470,1232,45,2024-02-13,12.0,2.0,Mumbai,2024-01-27
ORD_00004,U_01513,1208,60,2024-02-19,97.0,4.0,Delhi,2023-11-28
ORD_00005,U_04673,1595,30,2024-01-03,24.0,1.0,Bangalore,2023-11-09
ORD_00006,U_03179,3797,30,2024-01-17,21.0,,Bangalore,2023-11-03
ORD_00007,U_04287,669,60,2024-02-11,54.0,5.0,Bangalore,2024-01-13
ORD_00008,U_02556,4120,30,2024-01-19,17.0,4.0,Mumbai,2023-11-11
ORD_00009,U_03865,1582,45,2024-02-01,37.0,,Gurgaon,2023-11-12
ORD_00010,U_02200,308,45,2024-01-27,19.0,1.0,Bangalore,2024-01-04
ORD_00011,U_00502,969,45,2024-02-21,58.0,3.0,Mumbai,2023-12-10
ORD_00012,U_04699,1567,45,2024-02-22,41.0,5.0,Chennai,2024-01-26
ORD_00013,U_04408,4324,30,2024-01-11,19.0,5.0,Bangalore,2023-11-24
ORD_00014,U_01856,801,45,2024-02-21,21.0,3.0,Delhi,2023-11-20
ORD_00015,U_02169,1084,45,2024-02-25,20.0,3.0,Mumbai,2024-01-02
ORD_00016,U_03986,1138,60,2024-01-01,43.0,1.0,Bangalore,2023-11-02
ORD_00017,U_01609,4465,30,2024-01-02,18.0,,Mumbai,2023-12-21
ORD_00018,U_02356,105,30,2024-02-12,19.0,,Bangalore,2023-12-12
ORD_00019,U_01605,4522,30,2024-01-27,17.0,,Hyderabad,2023-12-27
ORD_00020,U_01078,584,60,2024-02-18,40.0,2.0,Delhi,2023-12-02
ORD_00021,U_04324,850,45,2024-02-17,76.0,,Gurgaon,2023-12-29
ORD_00022,U_01916,4920,30,2024-01-22,27.0,5.0,Mumbai,2023-11-14
ORD_00023,U_01877,405,45,2024-01-16,14.0,5.0,Bangalore,2023-11-26
ORD_00024,U_01018,1548,45,2024-01-06,16.0,1.0,Delhi,2023-11-05
ORD_00025,U_03967,642,60,2024-02-24,18.0,,Delhi,2024-01-13
ORD_00026,U_03465,1392,30,2024-01-18,15.0,1.0,Delhi,2023-12-23
ORD_00027,U_00668,3969,30,2024-01-22,24.0,5.0,Bangalore,2023-12-22
ORD_00028,U_02782,454,30,2024-01-08,24.0,5.0,Mumbai,2023-11-22
ORD_00029,U_03039,590,45,2024-01-27,52.0,3.0,Chennai,2023-12-16
ORD_00030,U_04996,196,60,2024-01-08,46.0,3.0,Mumbai,2023-12-01
ORD_00031,U_02978,876,30,2024-02-19,23.0,5.0,Mumbai,2023-12-31
ORD_00032,U_04429,1720,60,2024-02-08,43.0,,Delhi,2023-12-13
ORD_00033,U_02252,3073,30,2024-01-06,17.0,4.0,Mumbai,2023-12-24
ORD_00034,U_03335,1445,30,2024-02-20,12.0,5.0,Gurgaon,2024-01-02
ORD_00035,U_02539,2633,30,2024-01-30,21.0,4.0,Delhi,2023-12-17
ORD_00036,U_04303,853,60,2024-02-11,32.0,,Mumbai,2023-12-31
ORD_00037,U_04473,2263,30,2024-01-10,15.0,4.0,Hyderabad,2024-01-23
ORD_00038,U_00201,1671,30,2024-01-13,24.0,3.0,Bangalore,2024-01-24
ORD_00039,U_04828,1670,30,2024-01-01,21.0,5.0,Mumbai,2023-12-10
ORD_00040,U_02130,1356,30,2024-02-20,25.0,,Chennai,2023-12-19
ORD_00041,U_01021,1303,60,2024-02-28,37.0,,Delhi,2024-01-07
ORD_00042,U_00811,1416,30,2024-02-16,29.0,1.0,Chennai,2024-01-25
ORD_00043,U_04595,1705,60,2024-02-05,20.0,,Gurgaon,2023-11-08
ORD_00044,U_00881,462,45,2024-02-02,22.0,2.0,Delhi,2023-12-22
ORD_00045,U_00889,989,60,2024-02-18,82.0,4.0,Chennai,2023-11-15
ORD_00046,U_04403,2038,30,2024-01-04,19.0,,Delhi,2023-12-03
ORD_00047,U_02559,1482,45,2024-01-24,28.0,,Mumbai,2023-11-13
ORD_00048,U_03917,466,45,2024-01-29,18.0,2.0,Delhi,2023-12-11
ORD_00049,U_03267,442,30,2024-01-19,66.0,4.0,Mumbai,2024-01-28
ORD_00050,U_00463,272,45,2024-01-02,51.0,,Mumbai,2024-01-08
ORD_00051,U_03511,1134,60,2024-01-04,58.0,2.0,Bangalore,2023-12-01
ORD_00052,U_03916,611,60,2024-01-04,30.0,5.0,Hyderabad,2023-11-09
ORD_00053,U_01498,1009,45,2024-01-27,69.0,4.0,Chennai,2023-12-26
ORD_00054,U_04866,211,45,2024-01-21,18.0,4.0,Gurgaon,2023-11-21
ORD_00055,U_04334,1267,45,2024-01-06,39.0,4.0,Bangalore,2023-11-08
ORD_00056,U_00317,4412,30,2024-02-16,16.0,5.0,Bangalore,2023-11-08
ORD_00057,U_00952,1181,45,2024-01-21,23.0,5.0,Chennai,2023-12-24
ORD_00058,U_00483,1315,30,2024-02-11,16.0,1.0,Bangalore,2024-01-15
ORD_00059,U_03375,121,30,2024-02-19,13.0,,Delhi,2024-01-09
ORD_00060,U_00574,1221,60,2024-02-20,58.0,,Bangalore,2023-11-08
ORD_00061,U_04682,3808,30,2024-01-23,20.0,,Mumbai,2024-01-23
ORD_00062,U_04159,4246,30,2024-01-27,15.0,4.0,Gurgaon,2023-11-29
ORD_00063,U_03553,194,60,2024-01-08,54.0,2.0,Bangalore,2023-12-20
ORD_00064,U_02447,4546,30,2024-01-21,19.0,5.0,Gurgaon,2023-12-25
ORD_00065,U_03159,1099,45,2024-01-27,39.0,5.0,Gurgaon,2023-11-17
